,Rank,School,Rating,Win %,Adj win %,SOS,Offense,Defense,+/-,Adj +/-,AP,Logo Match
0,1,Florida,125.65862396342958,92.3076923076923,92.48520710059171,2.0,34.0,7.0,12.692307692307692,19.979126727847053,1.0,Florida
1,2,Louisville,120.7089491206244,92.3076923076923,91.06508875739645,51.0,3.0,16.0,21.46153846153846,20.49568741531269,6.0,Louisville
2,3,USC,120.49445068016985,84.61538461538461,81.77514792899407,4.0,15.0,10.0,15.307692307692308,21.45231099659258,4.0,USC
3,4,Ohio State,119.83596545380398,92.3076923076923,89.64497041420117,42.0,6.0,5.0,21.846153846153847,20.072919279637873,2.0,Ohio_State
4,5,Boise State,118.51166973827597,100.0,100.0,83.0,2.0,23.0,20.166666666666668,15.511669738275975,5.0,Boise_State
5,6,LSU,118.33042883207696,84.61538461538461,86.74556213017752,28.0,9.0,4.0,21.076923076923077,19.5039032362783,3.0,LSU
6,7,BYU,114.94110560277721,84.61538461538461,88.52071005917159,79.0,5.0,8.0,22.076923076923077,17.46790058224176,16.0,BYU
7,8,Michigan,114.14880193705717,84.61538461538461,80.35502958579882,19.0,22.0,14.0,13.307692307692308,17.3955188234894,8.0,Michigan
8,9,Auburn,112.80944856321175,84.61538461538461,83.90532544378698,33.0,50.0,6.0,10.846153846153847,12.644357724877892,9.0,Auburn
9,10,Wisconsin,112.16478610527393,91.66666666666666,93.01282051282051,80.0,23.0,2.0,16.583333333333332,13.196117988143541,7.0,Wisconsin
10,11,West Virginia,111.27005290214808,83.33333333333334,80.25641025641025,36.0,4.0,57.0,14.5,16.503145270039468,10.0,West_Virginia
11,12,California,110.74045363741178,75.0,74.42307692307692,9.0,12.0,31.0,12.5,18.151664907442917,14.0,California
12,13,Rutgers,110.59141482270381,83.33333333333334,79.1025641025641,46.0,29.0,9.0,12.666666666666666,14.085376024597418,12.0,Rutgers
13,14,Oklahoma,106.09339798370755,78.57142857142857,78.07692307692308,38.0,16.0,18.0,13.0,12.86458442862618,11.0,Oklahoma
14,15,TCU,105.85229477119326,83.33333333333334,84.87179487179488,87.0,28.0,2.0,15.583333333333334,10.283218192730414,22.0,TCU
15,16,Texas,105.57482943057319,75.0,73.65384615384616,57.0,7.0,31.0,14.666666666666666,12.882938790985339,13.0,Texas
16,17,Virginia Tech,105.41162886571773,75.0,73.26923076923077,60.0,49.0,1.0,12.916666666666666,12.854391383263287,19.0,Virginia_Tech
17,18,Hawai'i,105.07566113927419,76.92307692307693,78.16568047337277,91.0,1.0,73.0,21.846153846153847,11.75014698449014,NR,Hawai_i
18,19,Boston College,104.91482660968039,75.0,73.26923076923077,44.0,40.0,17.0,9.333333333333334,10.155696783145128,20.0,Boston_College
19,20,Tennessee,104.8404850647992,69.23076923076923,66.03550295857988,7.0,27.0,30.0,8.307692307692308,14.082687603411818,25.0,Tennessee
20,21,Oregon State,104.42546837860789,69.23076923076923,71.36094674556213,8.0,44.0,54.0,3.0,9.264407515867848,21.0,Oregon_State
21,22,Arkansas,103.89282243406635,69.23076923076923,64.61538461538461,11.0,42.0,24.0,7.076923076923077,13.647427334372857,15.0,Arkansas
22,23,Notre Dame,102.4548193302371,76.92307692307693,73.90532544378698,29.0,13.0,62.0,7.153846153846154,10.500300325187613,17.0,Notre_Dame
23,24,Georgia,100.9118787077343,66.66666666666666,65.8974358974359,18.0,57.0,21.0,5.166666666666667,9.782046331436145,23.0,Georgia
24,25,Wake Forest,100.12399644517211,76.92307692307693,73.19526627218936,43.0,79.0,12.0,5.153846153846154,7.166255108973457,18.0,Wake_Forest
25,26,Penn State,98.43796778891715,66.66666666666666,69.35897435897436,35.0,77.0,11.0,5.75,6.770813562536989,24.0,Penn_State
26,27,South Carolina,97.39508064582495,58.333333333333336,58.52564102564103,16.0,37.0,22.0,8.0,11.352629434955828,NR,South_Carolina
27,28,South Florida,97.10819251767346,66.66666666666666,67.05128205128204,66.0,72.0,19.0,4.0,5.103252707257067,NR,South_Florida
28,29,Clemson,96.42995724757084,61.53846153846154,57.45562130177515,71.0,10.0,15.0,16.53846153846154,9.610358437352804,NR,Clemson
29,30,UCLA,95.78205705120179,53.84615384615385,51.005917159763314,13.0,60.0,34.0,3.076923076923077,8.605706903704622,NR,UCLA
30,31,Nebraska,95.50519709205388,61.53846153846154,57.45562130177515,34.0,26.0,24.0,9.461538461538462,9.696778536034834,NR,Nebraska
31,32,Houston,94.90764741384378,69.23076923076923,68.16568047337277,93.0,11.0,59.0,8.692307692307692,4.450317523279766,NR,Houston
32,33,Texas A&M,94.87235236447736,66.66666666666666,62.43589743589744,54.0,33.0,48.0,5.25,5.6036943458971535,NR,Texas_A_M
33,34,Central Michigan,94.63365163921233,71.42857142857143,74.72527472527473,106.0,20.0,50.0,7.428571428571429,1.7838135186862427,NR,Central_Michigan
34,35,Navy,93.80357666304533,66.66666666666666,64.74358974358975,96.0,23.0,37.0,8.75,4.5731533572418,NR,Navy
35,36,Georgia Tech,93.75349289943179,61.53846153846154,56.74556213017752,40.0,52.0,29.0,4.615384615384615,6.867905453287724,NR,Georgia_Tech
36,37,Kentucky,93.09081475182607,58.333333333333336,60.83333333333333,5.0,46.0,103.0,-4.666666666666667,4.27517125750522,NR,Kentucky
37,38,Cincinnati,93.03756152905517,58.333333333333336,62.371794871794876,21.0,81.0,43.0,-1.0,3.5662004105514833,NR,Cincinnati
38,39,Missouri,92.71905688988092,58.333333333333336,52.371794871794876,58.0,25.0,40.0,8.083333333333334,8.992004762107264,NR,Missouri
39,40,Utah,92.1189172014198,58.333333333333336,59.679487179487175,69.0,39.0,42.0,5.583333333333333,3.6698045054777038,NR,Utah
40,41,Texas Tech,91.70470319822383,58.333333333333336,58.91025641025641,50.0,18.0,88.0,2.8333333333333335,4.67521976334218,NR,Texas_Tech
41,42,Nevada,91.6196753167967,61.53846153846154,61.71597633136094,98.0,17.0,24.0,10.923076923076923,3.368769728417575,NR,Nevada
42,43,Arizona,90.92731488882347,45.45454545454545,48.3916083916084,1.0,106.0,39.0,-4.909090909090909,5.42201106264427,NR,Arizona
43,44,Maryland,90.27947435335581,66.66666666666666,65.12820512820512,48.0,76.0,51.0,-1.0833333333333333,0.49552986498617146,NR,Maryland
44,45,Florida State,90.33589226584989,53.84615384615385,52.071005917159766,55.0,38.0,33.0,6.6923076923076925,6.343597172086261,NR,Florida_State
45,46,Southern Mississippi,90.1296877953671,61.53846153846154,61.36094674556213,81.0,52.0,36.0,3.923076923076923,1.8344808592832929,NR,Southern_Mississippi
46,47,Arizona State,89.0159278846897,50.0,46.92307692307693,10.0,43.0,80.0,0.08333333333333333,7.552646792161172,NR,Arizona_State
47,48,Washington State,89.08096506221639,50.0,49.61538461538461,20.0,51.0,56.0,1.5,4.948920007792397,NR,Washington_State
48,49,San José State,88.91786444731488,66.66666666666666,65.8974358974359,99.0,45.0,47.0,3.6666666666666665,-1.3102850539205715,NR,San_José_State
49,50,Oklahoma State,88.51310396366873,50.0,46.92307692307693,53.0,8.0,87.0,6.916666666666667,6.945114580102743,NR,Oklahoma_State
50,51,Tulsa,87.1670222389953,58.333333333333336,53.52564102564102,89.0,41.0,43.0,5.0,1.9088124557816804,NR,Tulsa
51,52,Oregon,86.79783440471579,50.0,42.307692307692314,6.0,31.0,91.0,-0.4166666666666667,6.382818376365847,NR,Oregon
52,53,Miami,86.78802767264453,50.0,49.61538461538461,56.0,97.0,13.0,1.0833333333333333,2.216873390102905,NR,Miami
53,54,Alabama,86.17493566245072,46.15384615384615,41.71597633136095,26.0,63.0,27.0,3.6923076923076925,5.983000590750024,NR,Alabama
54,55,Wyoming,85.50384972158676,50.0,54.230769230769226,77.0,72.0,48.0,-0.5,-0.3621775408589629,NR,Wyoming
55,56,Western Michigan,85.09184866073959,61.53846153846154,58.875739644970416,109.0,60.0,34.0,3.076923076923077,-2.8587103274383026,NR,Western_Michigan
56,57,East Carolina,84.63117622476543,53.84615384615385,55.26627218934912,84.0,71.0,41.0,0.7692307692307693,-1.8443430871208824,NR,East_Carolina
57,58,Minnesota,84.16183115288948,41.66666666666667,43.3974358974359,27.0,14.0,89.0,3.0833333333333335,3.6929329142378235,NR,Minnesota
58,59,Kansas State,83.61689340187078,50.0,47.69230769230769,39.0,64.0,61.0,-1.1666666666666667,-0.5838876530826571,NR,Kansas_State
59,60,Pittsburgh,83.42355349728558,45.45454545454545,40.41958041958042,47.0,18.0,65.0,5.636363636363637,4.626268100679844,NR,Pittsburgh
60,61,Ohio,83.30111513255797,61.53846153846154,60.29585798816568,102.0,84.0,27.0,-0.23076923076923078,-5.467978429286349,NR,Ohio
61,62,Purdue,82.90404672522932,53.84615384615385,49.94082840236687,63.0,55.0,81.0,-2.6923076923076925,-1.3807275148356215,NR,Purdue
62,63,Troy,82.66507348718193,58.333333333333336,62.756410256410255,114.0,72.0,63.0,-2.5833333333333335,-7.123138174815274,NR,Troy
63,64,Kansas,82.41396420983789,45.45454545454545,46.71328671328672,72.0,35.0,83.0,1.0,-0.312501438150921,NR,Kansas
64,65,Washington,82.17588171800506,41.66666666666667,41.47435897435898,12.0,68.0,79.0,-4.083333333333333,2.3998810197379754,NR,Washington
65,66,Rice,81.77117890861008,53.84615384615385,58.816568047337284,88.0,36.0,109.0,-6.3076923076923075,-6.626134284098033,NR,Rice
66,67,Northern Illinois,81.72824119720184,50.0,50.0,100.0,54.0,45.0,1.8333333333333333,-2.808194071629071,NR,Northern_Illinois
67,68,New Mexico,80.84238971489926,50.0,47.307692307692314,75.0,59.0,67.0,-1.4166666666666667,-2.5220915769166945,NR,New_Mexico
68,69,Ball State,80.54075766090753,45.45454545454545,49.65034965034965,105.0,30.0,76.0,2.0,-4.052175306502821,NR,Ball_State
69,70,Iowa,79.57449479958211,41.66666666666667,35.70512820512821,37.0,67.0,46.0,0.5833333333333334,2.9416774487200654,NR,Iowa
70,71,Middle Tennessee,79.12837517421698,50.0,47.307692307692314,95.0,78.0,71.0,-4.166666666666667,-4.588811190496678,NR,Middle_Tennessee
71,72,Virginia,79.11063470278732,41.66666666666667,44.93589743589744,67.0,110.0,20.0,-2.75,-3.3756658949844685,NR,Virginia
72,73,Indiana,77.76298357438802,45.45454545454545,43.35664335664335,32.0,65.0,108.0,-10.0,-4.168341994762818,NR,Indiana
73,74,SMU,76.65806327103803,45.45454545454545,47.13286713286713,111.0,47.0,76.0,0.0,-7.481863197435613,NR,SMU
74,75,Vanderbilt,76.23058775598294,27.27272727272727,30.209790209790206,17.0,80.0,70.0,-4.454545454545454,1.4746419315158383,NR,Vanderbilt
75,76,Kent State,74.98326911468499,50.0,49.61538461538461,119.0,93.0,37.0,-2.25,-10.657051649226961,NR,Kent_State
76,77,Northwestern,74.40646939617582,36.36363636363637,37.41258741258741,45.0,102.0,76.0,-9.0,-4.861508395279117,NR,Northwestern
77,78,Syracuse,74.31416528852445,33.33333333333333,34.48717948717949,25.0,96.0,67.0,-7.166666666666667,-3.0255813479059226,NR,Syracuse
78,79,Michigan State,73.46794834637892,33.33333333333333,31.7948717948718,62.0,48.0,96.0,-3.25,-2.16175756335159,NR,Michigan_State
79,80,Marshall,73.35293625352585,36.36363636363637,39.510489510489506,86.0,56.0,98.0,-5.7272727272727275,-7.4791955189727215,NR,Marshall
80,81,Akron,72.92793897391087,41.66666666666667,43.01282051282052,115.0,82.0,53.0,-2.9166666666666665,-9.9477725442989,NR,Akron
81,82,Fresno State,72.47308518311591,33.33333333333333,35.256410256410255,73.0,60.0,94.0,-5.25,-5.948175051323114,NR,Fresno_State
82,83,Ole Miss,72.3441871279213,27.27272727272727,31.46853146853147,14.0,111.0,65.0,-9.727272727272727,-3.409475997197,NR,Ole_Miss
83,84,UTEP,71.75422304600598,41.66666666666667,39.55128205128205,104.0,31.0,105.0,-3.9166666666666665,-9.519013946444543,NR,UTEP
84,85,Louisiana,71.59952347705419,45.45454545454545,44.61538461538462,113.0,90.0,84.0,-8.090909090909092,-12.39296713442735,NR,Louisiana
85,86,Air Force,71.10504877787925,33.33333333333333,27.564102564102566,64.0,57.0,71.0,-1.9166666666666667,-1.8671358876556434,NR,Air_Force
86,87,Arkansas State,70.91106782443691,50.0,48.46153846153846,117.0,109.0,63.0,-8.916666666666666,-15.010607287287868,NR,Arkansas_State
87,88,Toledo,69.97416282288879,36.36363636363637,41.18881118881119,108.0,69.0,100.0,-7.7272727272727275,-12.654025021063694,NR,Toledo
88,89,Florida Atlantic,69.92702050851682,36.36363636363637,42.027972027972034,101.0,114.0,85.0,-13.0,-13.151881278307929,NR,Florida_Atlantic
89,90,Louisiana Monroe,68.90357565569964,27.27272727272727,30.629370629370634,107.0,70.0,60.0,-2.090909090909091,-7.37947436621223,NR,Louisiana_Monroe
90,91,Baylor,67.05132599071055,27.27272727272727,28.531468531468533,30.0,75.0,113.0,-13.181818181818182,-8.256281360853174,NR,Baylor
91,92,San Diego State,66.09283053185095,27.27272727272727,29.790209790209794,65.0,112.0,93.0,-13.909090909090908,-10.53854418316517,NR,San_Diego_State
92,93,Colorado,65.90107670679187,18.181818181818183,21.32867132867133,41.0,99.0,52.0,-5.636363636363637,-3.026837348023654,NR,Colorado
93,94,Connecticut,65.58127608783438,27.27272727272727,23.076923076923077,22.0,87.0,97.0,-10.181818181818182,-5.379467598874518,NR,Connecticut
94,95,Tulane,65.52911611545252,33.33333333333333,33.33333333333333,82.0,86.0,110.0,-14.666666666666666,-13.758833188706554,NR,Tulane
95,96,Mississippi State,65.57607633314359,18.181818181818183,21.74825174825175,15.0,99.0,92.0,-10.909090909090908,-3.9738891833248395,NR,Mississippi_State
96,97,UCF,65.45391907914085,27.27272727272727,28.951048951048953,78.0,92.0,102.0,-12.0,-10.768215294099623,NR,UCF
